Date,Open,High,Low,Close,Volume,Vol30,RegimeFlag,EVT_DotCom_Crisis,EVT_Spain_Credit_Boom,EVT_Global_Financial_Crisis,EVT_Euro_Sovereign_Crisis,EVT_Post_Crisis_Recovery,EVT_Brexit_2016,EVT_LateCycle_Weakness,EVT_COVID_Pandemic,EVT_Reopening_Recovery,EVT_Ukraine_War,EVT_ECB_Rate_Hike_Cycle,EVT_Profits_Buybacks_Consolidation,MACRO_ECB_Deposit_Rate,MACRO_Inflation_HICP_EA,MACRO_IBEX35,Dividends,Adj Close,MA_10,MA_50,MA_ratio,ROC_10,Close_lag1,Close_lag3,Close_lag5,Vol30_lag5,RegimeFlag_lag5,MACRO_ECB_Deposit_Rate_lag1,MACRO_Inflation_HICP_EA_lag1,MACRO_IBEX35_lag1,MACRO_IBEX35_lag2
2000-04-24,14.699382781982422,14.699382781982422,14.699382781982422,14.699382781982422,0,1.558866535178823,0,1,0,0,0,0,0,0,0,0,0,0,0,2.7,1.76,11440.8,0,4.394914150238037,14.759909725189209,14.734738159179688,0.0017083144428893249,-3.7735858480042572,14.699382781982422,14.50723361968994,14.411160469055176,1.5876222092979673,0.0,2.675,1.79,11486.7,11502.0
2000-04-25,14.411160469055176,14.50723361968994,14.33430004119873,14.36312198638916,9512168,1.589153753658004,0,1,0,0,0,0,0,0,0,0,0,0,0,2.708333333333333,1.75,11425.5,1,4.311283111572266,14.678246402740479,14.72897367477417,-0.0034440466222416255,-5.37975226308115,14.699382781982422,14.699382781982422,14.420766830444336,1.5877661160621486,0.0,2.7,1.76,11440.8,11486.7
2000-04-26,14.50723361968994,14.50723361968994,14.267047882080078,14.33430004119873,7606384,1.555770433858464,0,1,0,0,0,0,0,0,0,0,0,0,0,2.716666666666667,1.74,11481.5,0,4.302631378173828,14.612915802001954,14.721479873657227,-0.007374535208891531,-4.358975044229818,14.36312198638916,14.699382781982422,14.50723361968994,1.584766539972387,0.0,2.708333333333333,1.75,11425.5,11440.8
2000-04-27,14.372730255126951,14.391944885253906,14.14215087890625,14.238225936889648,12146086,1.2421938749870571,0,1,0,0,0,0,0,0,0,0,0,0,0,2.725,1.73,11273.0,0,4.273795127868652,14.520684432983398,14.712064590454101,-0.013008382086283188,-6.083646841556933,14.33430004119873,14.699382781982422,14.699382781982422,1.6024307979539725,0.0,2.716666666666667,1.74,11481.5,11425.5
2000-04-28,14.382336616516112,14.411160469055176,14.3054780960083,14.411160469055176,9495124,1.25915110019022,0,1,0,0,0,0,0,0,0,0,0,0,0,2.7333333333333334,1.72,11467.900390625,0,4.325700759887695,14.478411769866943,14.705723705291748,-0.01545737836370531,-2.849736069234954,14.238225936889648,14.36312198638916,14.699382781982422,1.5590216295928558,0.0,2.725,1.73,11273.0,11481.5
2000-05-01,14.411160469055176,14.411160469055176,14.411160469055176,14.411160469055176,0,1.252021397260757,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7032258064516128,11767.375244140623,0,4.325700759887695,14.478411769866943,14.701112155914307,-0.015148540034623958,0.0,14.411160469055176,14.33430004119873,14.699382781982422,1.558866535178823,0.0,2.7333333333333334,1.72,11467.900390625,11273.0
2000-05-02,14.411160469055176,14.526449203491213,14.170973777770996,14.526449203491213,5774332,1.2432291097917512,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7064516129032257,11867.2001953125,0,4.360307216644287,14.48898000717163,14.70284149169922,-0.014545588663819053,0.7328484975137828,14.411160469055176,14.238225936889648,14.36312198638916,1.589153753658004,0.0,2.75,1.7032258064516128,11767.375244140623,11467.900390625
2000-05-03,14.411160469055176,14.50723361968994,14.315085411071776,14.372730255126951,5706284,1.2524635256967855,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7096774193548387,11667.900390625,0,4.314169883728027,14.475529670715332,14.693618354797364,-0.014842408371851246,-0.9271468847129705,14.526449203491213,14.411160469055176,14.33430004119873,1.555770433858464,0.0,2.75,1.7064516129032257,11867.2001953125,11767.375244140623
2000-05-04,14.315085411071776,14.36312198638916,13.998040199279783,14.08450698852539,10509407,1.2955730497847937,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7129032258064516,11597.5,0,4.227654457092285,14.414042091369629,14.674211330413819,-0.01772969144208536,-4.183004161308778,14.372730255126951,14.411160469055176,14.238225936889648,1.2421938749870571,0.0,2.75,1.7096774193548387,11667.900390625,11867.2001953125
2000-05-05,14.08450698852539,14.16136646270752,13.882749557495115,13.988431930541992,7124675,1.299211776159216,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7161290322580645,11560.900390625,0,4.198814868927002,14.342947006225586,14.652306365966798,-0.021113355946458134,-4.836603427402874,14.08450698852539,14.526449203491213,14.411160469055176,1.25915110019022,0.0,2.75,1.7129032258064516,11597.5,11667.900390625
2000-05-08,13.959609985351562,14.046076774597168,13.69060230255127,13.72903060913086,7791861,1.331351834562105,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7258064516129032,11304.0,0,4.120953559875488,14.245911788940429,14.63193857192993,-0.02638247701026164,-6.60131236286301,13.988431930541992,14.372730255126951,14.411160469055176,1.252021397260757,0.0,2.75,1.7161290322580645,11560.900390625,11597.5
2000-05-09,13.72903060913086,13.72903060913086,13.72903060913086,13.72903060913086,0,1.3303232890727017,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.729032258064516,11071.7001953125,0,4.120953559875488,14.1825026512146,14.61637451171875,-0.02968395891582354,-4.414718317223654,13.72903060913086,14.08450698852539,14.526449203491213,1.2432291097917512,0.0,2.75,1.7258064516129032,11304.0,11560.900390625
2000-05-10,13.67138671875,13.901965141296388,13.6233491897583,13.661779403686523,9253142,1.303173067813054,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.732258064516129,10832.2998046875,0,4.100767612457275,14.115250587463379,14.59658317565918,-0.032975702765730586,-4.6916880181054665,13.72903060913086,13.988431930541992,14.372730255126951,1.2524635256967855,0.0,2.75,1.729032258064516,11071.7001953125,11304.0
2000-05-11,13.7194242477417,13.92117977142334,13.556097030639648,13.805891036987305,6564364,1.3124633321388968,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7354838709677418,11036.2998046875,0,4.144021987915039,14.072017097473145,14.58082696914673,-0.03489581714056644,-3.036437979132023,13.661779403686523,13.72903060913086,14.08450698852539,1.2955730497847937,0.0,2.75,1.732258064516129,10832.2998046875,11071.7001953125
2000-05-12,13.92117977142334,13.92117977142334,13.604134559631348,13.72903060913086,5131932,1.2186176626012115,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.738709677419355,11102.599609375,0,4.120953559875488,14.003804111480713,14.562380657196044,-0.03835750203654431,-4.733344420035024,13.805891036987305,13.72903060913086,13.988431930541992,1.299211776159216,0.0,2.75,1.7354838709677418,11036.2998046875,10832.2998046875
2000-05-15,13.757854461669922,13.863534927368164,13.604134559631348,13.661779403686523,4599949,1.2158337068267078,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7483870967741937,11009.2998046875,0,4.100767612457275,13.928866004943847,14.541820735931397,-0.042151168145884155,-5.200005002912745,13.72903060913086,13.661779403686523,13.72903060913086,1.331351834562105,0.0,2.75,1.738709677419355,11102.599609375,11036.2998046875
2000-05-16,13.642563819885254,13.834712982177734,13.642563819885254,13.757854461669922,7211563,1.118192537460693,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7516129032258063,11220.7001953125,0,4.129603862762451,13.852006530761718,14.523374462127686,-0.046226717703704456,-5.291002164772451,13.661779403686523,13.805891036987305,13.72903060913086,1.3303232890727017,0.0,2.75,1.7483870967741937,11009.2998046875,11102.599609375
2000-05-17,13.786676406860352,14.08450698852539,13.661779403686523,13.882749557495115,16425166,1.1356852620637852,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7548387096774194,10905.2998046875,0,4.167094707489014,13.803008460998536,14.505120315551757,-0.04840441439154752,-3.409099655627734,13.757854461669922,13.72903060913086,13.661779403686523,1.303173067813054,0.0,2.75,1.7516129032258063,11220.7001953125,11009.2998046875
2000-05-18,13.873143196105955,14.122936248779297,13.786676406860352,13.930788040161133,10110041,1.1289346300886711,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7580645161290325,10889.599609375,0,4.18151330947876,13.78763656616211,14.489171981811523,-0.048417909355349065,-1.0914045375496118,13.882749557495115,13.661779403686523,13.805891036987305,1.3124633321388968,0.0,2.75,1.7548387096774194,10905.2998046875,11220.7001953125
2000-05-19,13.844321250915527,13.873143196105955,13.6233491897583,13.661779403686523,8766080,1.1487836864432814,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.761290322580645,10544.900390625,0,4.100767612457275,13.754971313476563,14.473607921600342,-0.049651518268039374,-2.3351618571504362,13.930788040161133,13.757854461669922,13.72903060913086,1.2186176626012115,0.0,2.75,1.7580645161290325,10889.599609375,10905.2998046875
2000-05-22,13.661779403686523,13.69060230255127,13.296695709228516,13.296695709228516,7744073,1.2193236523718738,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.770967741935484,10326.2998046875,0,3.991179943084717,13.711737823486327,14.450934352874755,-0.051152161606863755,-3.149056275064377,13.661779403686523,13.882749557495115,13.661779403686523,1.2158337068267078,0.0,2.75,1.761290322580645,10544.900390625,10889.599609375
2000-05-23,13.296695709228516,13.69060230255127,13.296695709228516,13.6233491897583,21755098,1.3292594143333285,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7741935483870968,10380.099609375,0,4.089230537414551,13.701169681549072,14.439405422210694,-0.0511264639419341,-0.7697660700258901,13.296695709228516,13.930788040161133,13.757854461669922,1.118192537460693,0.0,2.75,1.770967741935484,10326.2998046875,10544.900390625
2000-05-24,13.315911293029783,13.613741874694824,13.306303977966309,13.604134559631348,24928409,1.318395034408711,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7774193548387096,10342.400390625,0,4.083464622497559,13.695405197143554,14.432295913696288,-0.051058453967356865,-0.42194243042469326,13.6233491897583,13.661779403686523,13.882749557495115,1.1356852620637852,0.0,2.75,1.7741935483870968,10380.099609375,10326.2998046875
2000-05-25,13.594527244567873,14.180581092834473,13.594527244567873,14.180581092834473,26905304,1.538569806716739,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.780645161290323,10560.599609375,0,4.256490707397461,13.732874202728272,14.422496337890625,-0.047815726141013815,2.71398676726724,13.604134559631348,13.296695709228516,13.930788040161133,1.1289346300886711,0.0,2.75,1.7774193548387096,10342.400390625,10380.099609375
2000-05-26,13.998040199279783,14.612915992736816,13.901965141296388,14.478411674499512,16111263,1.5493074794890125,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7838709677419355,10437.099609375,0,4.345890045166016,13.807812309265136,14.416924037933349,-0.042249770274542464,5.458368377955658,14.180581092834473,13.6233491897583,13.661779403686523,1.1487836864432814,0.0,2.75,1.780645161290323,10560.599609375,10342.400390625
2000-05-29,14.267047882080078,14.430374145507812,14.055684089660645,14.209403038024902,6952794,1.4976533001991992,0,1,0,0,0,0,0,0,0,0,0,0,0,2.75,1.7935483870967743,10558.900390625,0,4.265143394470215,13.862574672698974,14.408277339935303,-0.037874247861943156,4.008435637532015,14.478411674499512,13.604134559631348,13.296695709228516,1.2193236523718738,0.0,2.75,1.7838709677419355,10437.099609375,10560.599609375
